state_or_territory,travel_associated_cases,locally_acquired_cases,cdc-state-case-counts-2016-02-03_travel_associated_cases,cdc-state-case-counts-2016-04-06_travel_associated_cases,cdc-state-case-counts-2016-07-06_travel_associated_cases,cdc-state-case-counts-2016-10-05_travel_associated_cases,long,lat
Alabama,30,0,NULL,2,2,27,-86.83,32.7889
Arizona,51,0,NULL,1,6,36,-111.66,34.2928
Arkansas,13,0,1,1,5,10,-92.44,34.9
California,375,0,2,29,69,277,-119.61,37.2422
Colorado,50,0,NULL,2,10,36,-105.55,38.9984
Connecticut,58,0,NULL,1,27,58,-72.73,41.6187
Delaware,17,0,NULL,3,5,15,-75.5,39.0006
District of Columbia,27,0,3,3,7,25,-77.02,38.9042
Florida,785,184,9,78,206,707,-82.5,28.5953
Georgia,104,0,1,11,29,86,-83.44,32.6481
Hawaii,14,0,3,5,10,14,-156.36,20.2564
Idaho,4,0,NULL,NULL,NULL,3,-114.66,44.3903
Illinois,85,0,3,10,23,75,-89.2,40.0635
Indiana,47,0,NULL,6,10,38,-86.28,39.9078
Iowa,19,0,NULL,4,9,16,-93.5,42.0749
Kansas,17,0,NULL,1,5,15,-98.38,38.4852
Kentucky,24,0,NULL,3,7,24,-85.29,37.5259
Louisiana,35,0,NULL,4,6,32,-91.95,31.0202
Maine,13,0,NULL,1,6,11,-69.21,45.3433
Maryland,125,0,NULL,6,31,102,-76.75,39.0281
Massachusetts,106,0,2,7,39,93,-71.76,42.2359
Michigan,63,0,NULL,2,10,60,-85.44,44.3723
Minnesota,55,0,1,12,21,47,-94.31,46.3179
Mississippi,23,0,NULL,2,5,23,-89.66,32.751
Missouri,36,0,NULL,2,6,27,-92.48,38.3685
Montana,7,0,NULL,1,1,7,-109.64,47.0343
Nebraska,13,0,NULL,2,2,11,-99.81,41.5272
Nevada,18,0,NULL,2,7,14,-116.66,39.3563
New Hampshire,12,0,NULL,2,4,10,-71.58,43.6857
New Jersey,164,0,1,5,45,133,-74.66,40.185
New Mexico,9,0,NULL,NULL,3,7,-106.11,34.4214
New York,942,0,NULL,55,285,837,-75.5,42.9372
North Carolina,83,0,NULL,8,17,66,-79.18,35.5387
North Dakota,2,0,NULL,NULL,NULL,2,-100.47,47.4463
Ohio,75,0,NULL,9,21,53,-82.79,40.2954
Oklahoma,29,0,NULL,3,12,27,-97.51,35.5843
Oregon,39,0,NULL,6,7,27,-120.56,43.9369
Pennsylvania††,161,0,NULL,NULL,35,132,-77.45,40.54
Rhode Island,35,0,NULL,NULL,16,32,-71.53,41.6625
South Carolina,54,0,NULL,NULL,6,31,-80.9,33.908
South Dakota,2,0,NULL,NULL,NULL,2,-100.23,44.4359
Tennessee,58,0,NULL,1,10,52,-86.34,35.8433
Texas,268,1,8,27,53,218,-99.33,31.462
Utah,19,0,NULL,2,3,15,-111.68,39.3238
Vermont,10,0,NULL,NULL,2,7,-72.66,44.0748
Virginia,95,0,1,8,33,86,-78.79,37.5126
Washington,58,0,NULL,2,9,34,-120.49,47.3897
West Virginia,11,0,NULL,5,6,11,-80.61,38.6441
Wisconsin,48,0,NULL,NULL,2,40,-90.01,44.639
Wyoming,2,0,NULL,NULL,NULL,2,-107.55,42.9996
Puerto Rico,124,32848,1,2,7,75,-66.46,18.221
